date,equity
2017-01-31,100000.0
2017-02-01,99760.84
2017-02-02,99843.51000000001
2017-02-03,100525.48000000001
2017-02-06,100156.73000000001
2017-02-07,99929.0
2017-02-08,100058.26000000001
2017-02-09,100567.48999999999
2017-02-10,101203.38
2017-02-13,101689.39
2017-02-14,101689.24
2017-02-15,101882.85
2017-02-16,101906.5
2017-02-17,101884.59
2017-02-20,101884.59
2017-02-21,102499.29000000001
2017-02-22,102343.40000000001
2017-02-23,102202.52000000002
2017-02-24,102436.48000000001
2017-02-27,102762.57
2017-02-28,102300.38
2017-03-01,103433.85
2017-03-02,102683.54000000001
2017-03-03,102623.73000000001
2017-03-06,102204.08000000002
2017-03-07,101830.13
2017-03-08,101221.54999999999
2017-03-09,100800.82
2017-03-10,101132.02000000002
2017-03-13,101293.74000000002
2017-03-14,100823.89000000001
2017-03-15,102095.01999999999
2017-03-16,101829.48999999999
2017-03-17,102114.40000000001
2017-03-20,102034.46000000002
2017-03-21,100740.78
2017-03-22,100892.92000000001
2017-03-23,101160.58000000002
2017-03-24,100974.10999999999
2017-03-27,100782.95000000001
2017-03-28,101514.81
2017-03-29,101668.40000000002
2017-03-30,102006.0
2017-03-31,102032.22
2017-04-03,101616.64000000001
2017-04-04,101682.66
2017-04-05,101364.41
2017-04-06,101871.12
2017-04-07,101829.1
2017-04-10,102076.41
2017-04-11,102376.38
2017-04-12,101622.16
2017-04-13,100965.39
2017-04-14,100965.39
2017-04-17,101781.41
2017-04-18,101754.54000000001
2017-04-19,101804.62
2017-04-20,102482.60999999999
2017-04-21,102362.11
2017-04-24,103057.19
2017-04-25,103749.98000000001
2017-04-26,103641.56
2017-04-27,103601.53
2017-04-28,102878.78000000001
2017-05-01,102945.28
2017-05-02,102953.78
2017-05-03,102507.78
2017-05-04,102463.04000000001
2017-05-05,103164.12
2017-05-08,102818.2
2017-05-09,102582.30000000002
2017-05-10,102907.51000000001
2017-05-11,102528.68
2017-05-12,102196.41
2017-05-15,102732.80000000002
2017-05-16,102555.0
2017-05-17,101255.52000000002
2017-05-18,101379.32
2017-05-19,102032.17000000001
2017-05-22,102473.54000000001
2017-05-23,102654.12
2017-05-24,102917.39
2017-05-25,103166.88
2017-05-26,103122.72
2017-05-29,103122.72
2017-05-30,102869.33
2017-05-31,102961.59
2017-06-01,103920.62
2017-06-02,104286.79000000001
2017-06-05,103958.45000000001
2017-06-06,103649.68000000001
2017-06-07,103758.42000000001
2017-06-08,104086.72
2017-06-09,104712.95000000001
2017-06-12,104835.95
2017-06-13,105313.88
2017-06-14,105073.25
2017-06-15,105001.75000000001
2017-06-16,105141.77000000002
2017-06-19,105549.71000000002
2017-06-20,104879.02
2017-06-21,104369.98000000001
2017-06-22,104438.51000000001
2017-06-23,104789.07
2017-06-26,105036.13999999998
2017-06-27,104446.66
2017-06-28,105160.65000000001
2017-06-29,104432.96000000002
2017-06-30,104619.35999999999
2017-07-03,105249.40000000001
2017-07-04,105249.40000000001
2017-07-05,104883.97
2017-07-06,103909.62
2017-07-07,104476.6
2017-07-10,104355.45999999999
2017-07-11,104316.12
2017-07-12,105024.1
2017-07-13,105073.9
2017-07-14,105481.84
2017-07-17,105619.06
2017-07-18,105391.87000000001
2017-07-19,106077.42000000001
2017-07-20,105906.06000000001
2017-07-21,105822.46000000002
2017-07-24,105714.84
2017-07-25,106179.13999999998
2017-07-26,106007.68000000001
2017-07-27,105762.35
2017-07-28,105556.09000000001
2017-07-31,105358.57850113799
2017-08-01,105422.518501138
2017-08-02,105138.488501138
2017-08-03,104814.958501138
2017-08-04,105066.568501138
2017-08-07,105129.298501138
2017-08-08,104930.898501138
2017-08-09,104645.288501138
2017-08-10,103287.06850113801
2017-08-11,103386.048501138
2017-08-14,104245.008501138
2017-08-15,103953.108501138
2017-08-16,103966.228501138
