,equity
2016-01-04,1.0
2016-01-05,1.0016905677975982
2016-01-06,0.9890404570362598
2016-01-07,0.9653142124285881
2016-01-08,0.9547627375539232
2016-01-11,0.955695464614667
2016-01-12,0.9633904628658038
2016-01-13,0.9393727410516496
2016-01-14,0.9547627375539233
2016-01-15,0.9343010376588551
2016-01-18,0.9343010376588551
2016-01-19,0.9355252419260813
2016-01-20,0.9235746764603008
2016-01-21,0.9287046752943918
2016-01-22,0.9477672845983444
2016-01-25,0.9334266060394076
2016-01-26,0.946193307683339
2016-01-27,0.93587501457386
2016-01-28,0.9407718316427651
2016-01-29,0.9636819400722859
2016-02-01,0.963332167424507
2016-02-02,0.963332167424507
2016-02-03,0.9635931269714185
2016-02-04,0.9637236067448745
2016-02-05,0.9637236067448745
2016-02-08,0.9635931269714186
2016-02-09,0.9637236067448746
2016-02-10,0.9635931269714187
2016-02-11,0.9635931269714187
2016-02-12,0.9635931269714187
2016-02-15,0.9635931269714187
2016-02-16,0.9635931269714187
2016-02-17,0.9635931269714187
2016-02-18,0.9637236067448747
2016-02-19,0.9637236067448747
2016-02-22,0.9637236067448747
2016-02-23,0.9635931269714189
2016-02-24,0.9637236067448748
2016-02-25,0.963593126971419
2016-02-26,0.963593126971419
2016-02-29,0.9637236067448749
2016-03-01,0.9637236067448749
2016-03-02,0.9635931269714191
2016-03-03,0.963723606744875
2016-03-04,0.963723606744875
2016-03-07,0.963723606744875
2016-03-08,0.9635931269714192
2016-03-09,0.9637236067448751
2016-03-10,0.9637236067448751
2016-03-11,0.9635931269714193
2016-03-14,0.9635931269714193
2016-03-15,0.9635931269714193
2016-03-16,0.9637236067448752
2016-03-17,0.9635931269714194
2016-03-18,0.9635931269714194
2016-03-21,0.9637236067448753
2016-03-22,0.9635931269714195
2016-03-23,0.9635931269714195
2016-03-24,0.9637236067448754
2016-03-25,0.9637236067448754
2016-03-28,0.9637236067448754
2016-03-29,0.9637236067448754
2016-03-30,0.9637236067448754
2016-03-31,0.9637236067448754
2016-04-01,0.9637236067448754
2016-04-04,0.9637236067448754
